month,payer_id,location_id,claims,charge_amount,allowed_amount,net_allowed_after_denial,paid_amount_total
2022-01-31,PY001,LC0001,11,5132.61,5012.41,4395.55,4107.72
2022-01-31,PY001,LC0002,1,598.15,623.82,623.82,564.57
2022-01-31,PY001,LC0003,3,1437.46,1588.22,1588.22,1526.37
2022-01-31,PY001,LC0004,3,2508.27,2676.3199999999997,2676.3199999999997,2566.29
2022-01-31,PY001,LC0005,8,7866.41,8195.619999999999,8195.619999999999,7785.32
2022-01-31,PY001,LC0006,8,4861.45,4831.099999999999,4043.5899999999997,3788.41
2022-01-31,PY001,LC0007,2,1280.59,1231.1,1231.1,1187.15
2022-01-31,PY001,LC0008,6,7308.75,7355.28,7355.28,6967.93
2022-01-31,PY001,LC0009,4,3987.09,4137.35,4137.35,4032.21
2022-01-31,PY001,LC0010,3,1771.3000000000002,1897.99,1897.99,1851.6299999999999
2022-01-31,PY001,LC0011,5,3162.42,3018.36,3018.36,2798.45
2022-01-31,PY001,LC0013,4,1375.37,1338.6399999999999,1338.6399999999999,1275.94
2022-01-31,PY001,LC0014,2,3312.37,3253.49,3253.49,3097.5
2022-01-31,PY001,LC0015,12,5649.46,5738.12,5620.12,5313.41
2022-01-31,PY001,LC0016,4,3169.41,2938.05,2938.05,2817.94
2022-01-31,PY001,LC0017,3,2129.49,2127.31,2127.31,2034.26
2022-01-31,PY001,LC0018,12,10806.41,10835.3,10009.27,9240.83
2022-01-31,PY001,LC0019,17,15855.460000000001,15902.039999999999,15902.039999999999,14935.9
2022-01-31,PY001,LC0020,4,1762.74,1875.35,1790.71,1660.52
2022-01-31,PY001,LC0021,5,2768.7,2859.16,2859.16,2711.79
2022-01-31,PY001,LC0022,2,3159.51,3262.07,3262.07,3126.1800000000003
2022-01-31,PY001,LC0023,3,808.16,792.8,532.26,489.57
2022-01-31,PY001,LC0025,11,4910.54,5033.48,4908.3,4611.18
2022-01-31,PY001,LC0026,6,8949.939999999999,8651.55,8651.55,8078.04
2022-01-31,PY001,LC0027,3,911.14,917.9200000000001,917.9200000000001,841.9499999999999
2022-01-31,PY001,LC0028,12,7745.49,7529.0,7015.66,6588.26
2022-01-31,PY001,LC0029,3,6912.5599999999995,6069.51,6069.51,5693.46
2022-01-31,PY001,LC0030,3,1791.83,1836.32,1613.24,1567.67
2022-01-31,PY001,LC0031,8,15733.880000000001,16565.94,16565.94,16183.39
2022-01-31,PY001,LC0033,11,11614.84,10953.14,10953.14,10570.82
2022-01-31,PY001,LC0034,1,1157.6,1254.25,1254.25,1238.39
2022-01-31,PY001,LC0035,6,3256.2200000000003,3364.16,3364.16,3223.2
2022-01-31,PY001,LC0036,6,3936.06,3916.6499999999996,3916.6499999999996,3627.38
2022-01-31,PY001,LC0037,8,6318.7300000000005,6495.37,6495.37,6064.780000000001
2022-01-31,PY001,LC0038,3,1935.44,1986.96,1986.96,1816.21
2022-01-31,PY001,LC0039,10,7533.59,7244.65,6843.14,6468.13
2022-01-31,PY001,LC0041,10,10322.52,10426.59,9729.59,9270.48
2022-01-31,PY001,LC0042,9,15135.52,15761.859999999999,15761.859999999999,15034.04
2022-01-31,PY001,LC0043,11,6833.99,6935.02,6935.02,6448.75
2022-01-31,PY001,LC0046,8,4027.04,4132.24,4132.24,3979.4900000000002
2022-01-31,PY001,LC0047,8,8505.76,8530.71,8530.71,7961.85
2022-01-31,PY001,LC0048,2,859.94,944.0600000000001,944.0600000000001,902.3599999999999
2022-01-31,PY001,LC0049,12,9616.240000000002,9352.98,9352.98,8748.69
2022-01-31,PY001,LC0052,11,10782.92,10424.58,10424.58,10091.199999999999
2022-01-31,PY002,LC0001,6,2394.8,2461.36,2461.36,2317.0699999999997
2022-01-31,PY002,LC0003,5,3470.9900000000002,3341.98,3341.98,3143.71
2022-01-31,PY002,LC0005,16,10395.09,10046.18,9607.96,9098.87
2022-01-31,PY002,LC0006,4,1542.9,1498.12,1498.12,1418.96
2022-01-31,PY002,LC0007,2,401.09,398.15,398.15,376.82
2022-01-31,PY002,LC0008,3,2933.97,3246.34,2821.4700000000003,2628.7799999999997
2022-01-31,PY002,LC0009,7,3578.38,3457.9500000000003,3457.9500000000003,3313.07
2022-01-31,PY002,LC0010,3,1139.85,1212.57,1212.57,1150.1999999999998
2022-01-31,PY002,LC0011,5,3985.65,4291.04,4291.04,3988.2799999999997
2022-01-31,PY002,LC0013,1,251.92,259.28,259.28,235.36
2022-01-31,PY002,LC0015,7,4720.21,4470.51,4152.21,3847.84
2022-01-31,PY002,LC0016,3,2419.69,2223.02,2223.02,2135.59
2022-01-31,PY002,LC0017,3,1973.6599999999999,2093.9,2093.9,2004.81
2022-01-31,PY002,LC0018,14,17583.28,17462.86,14014.55,13433.05
2022-01-31,PY002,LC0019,15,13395.55,13317.779999999999,13317.779999999999,12600.15
2022-01-31,PY002,LC0020,1,733.33,721.93,721.93,673.33
2022-01-31,PY002,LC0021,6,8049.409999999999,8513.62,8055.489999999999,7763.049999999999
2022-01-31,PY002,LC0022,9,5533.35,5356.01,5155.09,4927.650000000001
2022-01-31,PY002,LC0023,1,550.2,623.07,623.07,602.31
2022-01-31,PY002,LC0024,1,1763.61,1951.08,1951.08,1777.78
2022-01-31,PY002,LC0025,2,1515.3200000000002,1611.75,1611.75,1485.4099999999999
2022-01-31,PY002,LC0026,5,3291.16,3390.6800000000003,3390.6800000000003,3178.46
2022-01-31,PY002,LC0027,7,2593.34,2630.33,2630.33,2531.6
2022-01-31,PY002,LC0028,18,14561.630000000001,14918.94,14679.11,13957.84
2022-01-31,PY002,LC0029,1,567.09,544.08,544.08,536.47
2022-01-31,PY002,LC0030,2,888.23,829.13,677.13,650.74
2022-01-31,PY002,LC0031,11,13036.460000000001,13276.28,13276.28,12740.630000000001
2022-01-31,PY002,LC0032,4,3878.4700000000003,4253.04,4253.04,4108.68
2022-01-31,PY002,LC0033,6,5075.21,4855.78,4855.78,4661.81
2022-01-31,PY002,LC0034,2,3063.28,3062.21,1653.1600000000003,1493.18
2022-01-31,PY002,LC0035,3,1202.57,1244.88,1244.88,1137.29
2022-01-31,PY002,LC0036,6,4151.0599999999995,3949.5,3949.5,3704.54
2022-01-31,PY002,LC0037,6,5457.5599999999995,5593.0,5006.52,4739.81
2022-01-31,PY002,LC0038,2,1178.95,1068.04,1068.04,1043.83
2022-01-31,PY002,LC0039,7,7513.799999999999,7541.84,7541.84,7262.35
